index,country_code,litres,life_expectancy,country_name,longitude,latitude
95,MEX,4.09,74.4114,Mexico,-99.1276,19.427
96,ARM,3.9490000000000003,74.2162,Armenia,44.509,40.1596
97,ZWE,3.718,57.924099999999996,Zimbabwe,31.0672,-17.8312
98,KAZ,3.7,71.238,Kazakhstan,71.4382,51.1879
99,MKD,3.6519999999999997,75.58585365853659,North Macedonia,21.4361,42.0024
100,NIC,3.621,73.02529999999999,Nicaragua,-86.2734,12.1475
101,PRK,3.592,72.308,"Korea, Dem. People's Rep.",125.754,39.0319
102,ECU,3.527,76.5141,Ecuador,-78.5243,-0.229498
103,ZMB,3.371,60.427099999999996,Zambia,28.2937,-15.3982
104,KHM,3.3519999999999994,69.59479999999999,Cambodia,104.874,11.5556
105,LBR,3.28,60.010400000000004,Liberia,-10.7957,6.30039
106,MUS,3.243,74.02239024390244,Mauritius,57.4977,-20.1605
107,CRI,3.2369999999999997,79.2311,Costa Rica,-84.0089,9.63701
108,JAM,3.2310000000000003,72.5428,Jamaica,-76.792,17.9927
109,SLE,3.197,57.0766,Sierra Leone,-13.2134,8.4821
110,BOL,3.159,67.1821,Bolivia,-66.1936,-13.9908
111,GNB,3.145,58.7981,Guinea-Bissau,-15.1804,11.8037
112,TKM,3.088,68.7209,Turkmenistan,58.3794,37.9509
113,IND,2.9690000000000003,69.1529,India,77.225,28.6353
114,NRU,2.927,0.0,Nauru,166.920867,-0.5477
115,VNM,2.899,73.8385,Vietnam,105.825,21.0069
116,LSO,2.881,50.3493,Lesotho,27.7167,-29.5208
117,ISR,2.857,82.17902439024391,Israel,35.2035,31.7717
118,HTI,2.744,61.428200000000004,Haiti,-72.3288,18.5392
119,GMB,2.681,62.4019,"Gambia, The",-16.5885,13.4495
120,HND,2.649,72.19449999999999,Honduras,-87.4667,15.1333
121,LKA,2.644,74.6808,Sri Lanka,79.8528,6.92148
122,FJI,2.568,67.4784,Fiji,178.399,-18.1149
123,SLV,2.568,72.0319,El Salvador,-89.2073,13.7034
124,NAM,2.3240000000000003,59.906000000000006,Namibia,17.0931,-22.5648
125,UZB,2.254,70.3715,Uzbekistan,69.269,41.3052
126,WSM,2.186,72.3968,Samoa,-171.752,-13.8314
127,MWI,1.969,60.7102,Malawi,33.7703,-13.9899
128,ARE,1.967,79.0879,United Arab Emirates,54.3705,24.4764
129,SGP,1.8490000000000002,82.56000000000002,Singapore,103.85,1.28941
130,GTM,1.763,72.00739999999999,Guatemala,-90.5328,14.6248
131,FSM,1.7570000000000001,71.38419999999999,"Micronesia, Fed. Sts.",158.185,6.91771
132,GHA,1.687,63.0295,Ghana,-0.20795,5.57045
133,KEN,1.59,61.81699999999999,Kenya,36.8126,-1.27975
134,VUT,1.581,69.6209,Vanuatu,168.321,-17.7404
135,BHR,1.51,79.382,Bahrain,50.5354,26.1921
136,MMR,1.473,65.1406,Myanmar,95.9562,21.914
137,TUN,1.432,75.69969999999999,Tunisia,10.21,36.7899
138,CIV,1.409,57.31269999999999,Cote d'Ivoire,-4.0305,5.332
139,CAF,1.4049999999999998,52.072500000000005,Central African Republic,21.6407,5.63056
140,BEN,1.402,59.29970000000001,Benin,2.6323,6.4779
141,MDV,1.356,79.25829999999999,Maldives,73.5109,4.1742
142,TUR,1.327,76.4392,Turkiye,32.3606,39.7153
143,TGO,1.279,59.1084,Togo,1.2255,6.1228
144,TUV,1.2710000000000001,64.0755,Tuvalu,179.089567,-8.6314877
145,LBN,1.214,79.0279,Lebanon,35.5134,33.8872
146,MOZ,1.169,57.7124,Mozambique,32.5713,-25.9664
147,PNG,1.123,64.3818,Papua New Guinea,147.194,-9.47357
148,SLB,1.0879999999999999,69.5073,Solomon Islands,159.949,-9.42676
149,ERI,1.0230000000000001,65.696,Eritrea,38.9183,15.3315
150,QAT,1.018,79.89489999999999,Qatar,51.5082,25.2948
151,MDG,0.883,64.37100000000001,Madagascar,45.7167,-20.4667
152,TJK,0.819,69.2308,Tajikistan,68.7864,38.5878
153,ETH,0.763,63.1401,Ethiopia,38.7468,9.02274
